INDEX,city,year,weekofyear,week_start_date,total_cases,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,precipitation_amt_mm,reanalysis_air_temp_k,reanalysis_avg_temp_k,reanalysis_dew_point_temp_k,reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_sat_precip_amt_mm,reanalysis_specific_humidity_g_per_kg,reanalysis_tdtr_k,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,station_precip_mm
1,sj,1990,18,4/30/1990,4,0.1226,0.103725,0.1984833,0.1776167,12.42,297.5728571,297.7428571,292.4142857,299.8,295.9,32,73.36571429,12.42,14.01285714,2.628571429,25.44285714,6.9,29.4,20,16
2,sj,1990,19,5/7/1990,5,0.1699,0.142175,0.1623571,0.1554857,22.82,298.2114286,298.4428571,293.9514286,300.9,296.4,17.94,77.36857143,22.82,15.37285714,2.371428571,26.71428571,6.371428571,31.7,22.2,8.6
3,sj,1990,20,5/14/1990,4,0.03225,0.1729667,0.1572,0.1708429,34.54,298.7814286,298.8785714,295.4342857,300.5,297.3,26.1,82.05285714,34.54,16.84857143,2.3,26.71428571,6.485714286,32.2,22.8,41.4
4,sj,1990,21,5/21/1990,3,0.1286333,0.2450667,0.2275571,0.2358857,15.36,298.9871429,299.2285714,295.31,301.4,297,13.9,80.33714286,15.36,16.67285714,2.428571429,27.47142857,6.771428571,33.3,23.3,4
5,sj,1990,22,5/28/1990,6,0.1962,0.2622,0.2512,0.24734,7.52,299.5185714,299.6642857,295.8214286,301.9,297.5,12.2,80.46,7.52,17.21,3.014285714,28.94285714,9.371428571,35,23.9,5.8
6,sj,1990,23,6/4/1990,2,,0.17485,0.2543143,0.1817429,9.58,299.63,299.7642857,295.8514286,302.4,298.1,26.49,79.89142857,9.58,17.21285714,2.1,28.11428571,6.942857143,34.4,23.9,39.1
7,sj,1990,24,6/11/1990,4,0.1129,0.0928,0.2050714,0.2102714,3.48,299.2071429,299.2214286,295.8657143,301.3,297.7,38.6,82,3.48,17.23428571,2.042857143,27.41428571,6.771428571,32.2,23.3,29.7
8,sj,1990,25,6/18/1990,5,0.0725,0.0725,0.1514714,0.1330286,151.12,299.5914286,299.5285714,296.5314286,300.6,298.4,30,83.37571429,151.12,17.97714286,1.571428571,28.37142857,7.685714286,33.9,22.8,21.1
9,sj,1990,26,6/25/1990,10,0.10245,0.146175,0.1255714,0.1236,19.32,299.5785714,299.5571429,296.3785714,302.1,297.7,37.51,82.76857143,19.32,17.79,1.885714286,28.32857143,7.385714286,33.9,22.8,21.1
10,sj,1990,27,7/2/1990,6,,0.12155,0.1606833,0.2025667,14.41,300.1542857,300.2785714,296.6514286,302.3,298.7,28.4,81.28142857,14.41,18.07142857,2.014285714,28.32857143,6.514285714,33.9,24.4,1.1
11,sj,1990,28,7/9/1990,8,0.192875,0.08235,0.1919429,0.1529286,22.27,299.5128571,299.5928571,296.0414286,301.8,298,43.72,81.46714286,22.27,17.41857143,2.157142857,27.55714286,7.157142857,31.7,21.7,63.7
12,sj,1990,29,7/16/1990,2,0.2916,0.2118,0.3012,0.2806667,59.17,299.6671429,299.75,296.3342857,302,297.3,40.9,82.14428571,59.17,17.73714286,2.414285714,28.12857143,6.9,32.8,23.9,12.2
13,sj,1990,30,7/23/1990,6,0.1505667,0.1717,0.2269,0.2145571,16.48,299.5585714,299.6357143,295.96,301.8,297.1,42.53,80.74285714,16.48,17.34142857,2.071428571,28.11428571,6.357142857,31.7,22.8,32.6
14,sj,1990,31,7/30/1990,17,,0.24715,0.3797,0.3813571,32.66,299.8628571,299.95,296.1728571,303,298.3,34.6,80.58428571,32.66,17.59428571,2.585714286,28.24285714,8.085714286,34.4,22.8,37.6
15,sj,1990,32,8/6/1990,23,,0.06433333,0.1644429,0.1388571,28.8,300.3914286,300.4785714,296.5328571,302.5,298.8,20,79.65,28.8,17.95,2.328571429,28.2,7.557142857,33.3,23.3,11.4
16,sj,1990,33,8/13/1990,13,,0.1280333,0.2069571,0.1682429,90.75,299.9585714,299.9571429,297.0357143,302.6,298.5,101.9,84.17857143,90.75,18.51571429,1.857142857,28.04285714,6.685714286,32.8,22.8,44.7
17,sj,1990,34,8/20/1990,21,0.1902333,0.1688,0.1676571,0.1722857,32.4,300.3328571,300.4142857,296.7285714,302.5,298.1,25.9,80.94714286,32.4,18.17428571,2.485714286,28.34285714,7.014285714,33.3,23.3,5.4
18,sj,1990,35,8/27/1990,28,0.2529,0.33075,0.2641714,0.2843143,40.94,300.1185714,300.2214286,297.0171429,302.2,298.7,39.8,83.34857143,40.94,18.51571429,1.9,28.65714286,6.528571429,32.2,24.4,13.7
19,sj,1990,36,9/3/1990,24,0.2354,0.200025,0.2838167,0.2304429,28.86,300.53,300.6357143,296.1171429,303.8,298,30.4,77.17285714,28.86,17.56,3.471428571,28.32857143,7.614285714,32.8,23.3,14.2
20,sj,1990,37,9/10/1990,20,0.1279667,0.4371,0.1234,0.1482833,64.56,300.6742857,300.7928571,297.1928571,302.9,299,24.18,81.55142857,64.56,18.77714286,2.9,28.68571429,8.057142857,33.9,24.4,25.9
21,sj,1990,38,9/17/1990,40,0.19635,0.1824333,0.2548286,0.3056857,143.73,299.8571429,299.9,296.4314286,301.7,298.7,36.6,81.63714286,143.73,17.89285714,1.742857143,28.24285714,8.114285714,32.8,23.9,3.3
22,sj,1990,39,9/24/1990,27,0.1161,0.2609,0.1994429,0.2442167,51.39,300.4271429,300.6,296.0285714,302.4,299.1,16.4,77.04857143,51.39,17.46857143,2.257142857,28.34285714,7.728571429,32.8,24.4,15.8
23,sj,1990,40,10/1/1990,42,0.22855,0.18975,0.2124857,0.2011857,31.18,300.7757143,300.85,296.6642857,303.3,299.1,36.1,78.52,31.18,18.18,2.9,28.77142857,8.028571429,33.3,23.9,11.7
24,sj,1990,41,10/8/1990,33,0.17115,0.06755,0.1794667,0.1577167,51.42,299.8571429,299.9428571,296.9285714,301.8,298.1,132.4,84.11,51.42,18.51285714,2.571428571,28.62857143,7.314285714,33.3,24.4,57.7
